Vehicle Full Code,Vehicle Code,OEM Model Name,SIAM Company Code,SIAM Segment 1,SIAM Segment 2,SIAM Fuel,Month,Year,Production Qty,Domestic Sale,Export Sale,Category,Category Name,YrMth
HMPVF2U4DI,PV,PAJRO SFX,HINDUSTAN MOTORS LTD,SUV,UV4:,DIESEL,NOV,2012,0,0,0,PVUV,Utility vehicles PV,01-11-2012
HMORF2U4DI,OR,OUTLANDER,HINDUSTAN MOTORS LTD,SUV,UV4:,DIESEL,NOV,2012,0,0,0,PVUV,Utility vehicles PV,01-11-2012
SKOAP3EEDI,OA,Octavia,SKODAAUTO INDIA PVT LTD,Premium Car 3,Executive,DIESEL,NOV,2012,0,0,0,PVPC,Passenger car PV,01-11-2012
HMORF2U4PT,OR,OUTLANDER,HINDUSTAN MOTORS LTD,SUV,UV4:,PETROL,NOV,2012,0,6,0,PVUV,Utility vehicles PV,01-11-2012
FMTXF1U3PT,TX,Trax,FORCE MOTORS LTD,MPV,UV3,PETROL,MAY,2012,0,0,0,PVUV,Utility vehicles PV,01-05-2012
FMTXF1U3DI,TX,Trax,FORCE MOTORS LTD,MPV,UV3,DIESEL,MAY,2012,0,15,0,PVUV,Utility vehicles PV,01-05-2012
FMFOF2U3PT,FO,Force One,FORCE MOTORS LTD,SUV,UV3,PETROL,MAY,2012,0,0,0,PVUV,Utility vehicles PV,01-05-2012
TMAAF2U3DI,AA,Aria,TATA MOTORS LTD,SUV,UV3,DIESEL,MAY,2012,0,67,0,PVUV,Utility vehicles PV,01-05-2012
TMXNF2U3DI,XN,Xenon,TATA MOTORS LTD,SUV,UV3,DIESEL,MAY,2012,0,9,0,PVUV,Utility vehicles PV,01-05-2012
GMCPF2U4PT,CP,Captiva,GENERAL MOTORS INDIA PVT LTD,SUV,UV4:,PETROL,NOV,2012,0,0,0,PVUV,Utility vehicles PV,01-11-2012
GMCPF2U4DI,CP,Captiva,GENERAL MOTORS INDIA PVT LTD,SUV,UV4:,DIESEL,NOV,2012,0,66,0,PVUV,Utility vehicles PV,01-11-2012
SKLUODEEPT,LU,Laura,SKODAAUTO INDIA PVT LTD,D,Executive,PETROL,NOV,2012,0,22,0,PVPC,Passenger car PV,01-11-2012
SKLUODEEDI,LU,Laura,SKODAAUTO INDIA PVT LTD,D,Executive,DIESEL,NOV,2012,0,187,0,PVPC,Passenger car PV,01-11-2012
RIRFODEEDI,RF,Renault FLUENCE,RENAULT INDIA PVT LTD,D,Executive,DIESEL,NOV,2012,0,72,0,PVPC,Passenger car PV,01-11-2012
RIRFODEEPT,RF,Renault FLUENCE,RENAULT INDIA PVT LTD,D,Executive,PETROL,NOV,2012,0,10,0,PVPC,Passenger car PV,01-11-2012
MSKIOEEEDI,KI,Kizashi,MARUTI SUZUKI INDIA LTD,E,Executive,DIESEL,NOV,2012,0,0,0,PVPC,Passenger car PV,01-11-2012
MSKIOEEEPT,KI,Kizashi,MARUTI SUZUKI INDIA LTD,E,Executive,PETROL,NOV,2012,0,71,0,PVPC,Passenger car PV,01-11-2012
FIEVF2U4PT,EV,Endeavour,FORD INDIA PVT LTD,SUV,UV4:,PETROL,NOV,2012,0,0,0,PVUV,Utility vehicles PV,01-11-2012
TMXNF2U3PT,XN,Xenon,TATA MOTORS LTD,SUV,UV3,PETROL,MAY,2012,0,0,0,PVUV,Utility vehicles PV,01-05-2012
FMFOF2U3DI,FO,Force One,FORCE MOTORS LTD,SUV,UV3,DIESEL,MAY,2012,0,101,0,PVUV,Utility vehicles PV,01-05-2012
TKIAF1U2DI,IA,Innova,TOYOTA KIRLOSKAR MOTOR PVT LTD,MPV,UV2,DIESEL,MAY,2012,0,6708,0,PVUV,Utility vehicles PV,01-05-2012
TKIAF1U2PT,IA,Innova,TOYOTA KIRLOSKAR MOTOR PVT LTD,MPV,UV2,PETROL,MAY,2012,0,2,0,PVUV,Utility vehicles PV,01-05-2012
TMSIF2U2PT,SI,Safari,TATA MOTORS LTD,SUV,UV2,PETROL,MAY,2012,0,0,0,PVUV,Utility vehicles PV,01-05-2012
TMSIF2U2DI,SI,Safari,TATA MOTORS LTD,SUV,UV2,DIESEL,MAY,2012,0,543,0,PVUV,Utility vehicles PV,01-05-2012
MMXOF1U2PT,XO,Xylo,MAHINDRA & MAHINDRA LTD,MPV,UV2,PETROL,MAY,2012,0,0,0,PVUV,Utility vehicles PV,01-05-2012
MMXOF1U2DI,XO,Xylo,MAHINDRA & MAHINDRA LTD,MPV,UV2,DIESEL,MAY,2012,0,2370,0,PVUV,Utility vehicles PV,01-05-2012
FIEVF2U4DI,EV,Endeavour,FORD INDIA PVT LTD,SUV,UV4:,DIESEL,MAY,2012,0,140,0,PVUV,Utility vehicles PV,01-05-2012
FIEVF2U4PT,EV,Endeavour,FORD INDIA PVT LTD,SUV,UV4:,PETROL,MAY,2012,0,0,0,PVUV,Utility vehicles PV,01-05-2012
GMCPF2U4DI,CP,Captiva,GENERAL MOTORS INDIA PVT LTD,SUV,UV4:,DIESEL,MAY,2012,0,22,0,PVUV,Utility vehicles PV,01-05-2012
GMCPF2U4PT,CP,Captiva,GENERAL MOTORS INDIA PVT LTD,SUV,UV4:,PETROL,MAY,2012,0,0,0,PVUV,Utility vehicles PV,01-05-2012
HMORF2U4PT,OR,OUTLANDER,HINDUSTAN MOTORS LTD,SUV,UV4:,PETROL,MAY,2012,0,12,0,PVUV,Utility vehicles PV,01-05-2012
HMORF2U4DI,OR,OUTLANDER,HINDUSTAN MOTORS LTD,SUV,UV4:,DIESEL,MAY,2012,0,0,0,PVUV,Utility vehicles PV,01-05-2012
HMPVF2U4DI,PV,PAJRO SFX,HINDUSTAN MOTORS LTD,SUV,UV4:,DIESEL,MAY,2012,0,0,0,PVUV,Utility vehicles PV,01-05-2012
